pm,keyword,score
Rajiv Gandhi,national significance fundamental,0.5725
Rajiv Gandhi,fare little consequence,0.4973
Rajiv Gandhi,fully committed course,0.4863
Rajiv Gandhi,exercise free obstructed,0.4823
Rajiv Gandhi,face,0.4495
Rajiv Gandhi,triumph risk custodian,0.4468
Rajiv Gandhi,events,0.4272
Rajiv Gandhi,matters lamp,0.4156
Rajiv Gandhi,ble aware schedule,0.4129
Rajiv Gandhi,president reagan,1.3864
Rajiv Gandhi,october britain,0.57
Rajiv Gandhi,commonwealth summit bahamas,0.5643
Rajiv Gandhi,measures south africa,0.5346
Rajiv Gandhi,japan relations countries,0.501
Rajiv Gandhi,wangyal bhutan,0.4897
Rajiv Gandhi,lubbers appreciate netherlands,0.4875
Rajiv Gandhi,quboos early times,0.4837
Rajiv Gandhi,close cordial useful,0.4599
Rajiv Gandhi,sardar swaran singh,0.4573
Rajiv Gandhi,union 14th,0.4362
Rajiv Gandhi,effective implementation impact,0.4249
Rajiv Gandhi,oman different sectors,0.4177
Rajiv Gandhi,population havana,0.3872
Rajiv Gandhi,jose marti award,0.3355
Rajiv Gandhi,sixth plan poverty,0.7433
Rajiv Gandhi,economists disagree,0.6443
Rajiv Gandhi,period panditji said,0.5927
Rajiv Gandhi,exercise political purely,0.5803
Rajiv Gandhi,tremendous change change,0.5615
Rajiv Gandhi,given average growth,0.5546
Rajiv Gandhi,later thoughts yes,1.1343
Rajiv Gandhi,union territories,0.5505
Rajiv Gandhi,science technology particular,0.5056
Rajiv Gandhi,indiraji,0.4844
Rajiv Gandhi,fields congratulate,0.4722
Rajiv Gandhi,52 cent 1980,0.4681
Rajiv Gandhi,outlook tackle problem,0.4575
Rajiv Gandhi,great planners,0.4264
Rajiv Gandhi,pudding eating shown,0.4238
Rajiv Gandhi,appropriate technology interpreted,0.7105
Rajiv Gandhi,farmer faces monsoon,0.6103
Rajiv Gandhi,tremendous change satellites,0.6004
Rajiv Gandhi,panditji time,0.5819
Rajiv Gandhi,seeds giving better,0.5676
Rajiv Gandhi,demands start raising,0.5496
Rajiv Gandhi,days knows,0.5266
Rajiv Gandhi,don water,0.5142
Rajiv Gandhi,exercise progression,0.4867
Rajiv Gandhi,cottage sort,0.4623
Rajiv Gandhi,switch television,0.4393
Rajiv Gandhi,comes small,0.437
Rajiv Gandhi,largest number,0.4327
Rajiv Gandhi,absolutely wrong,0.4199
Rajiv Gandhi,small scale sector,0.7169
Rajiv Gandhi,seventh plan changed,0.6332
Rajiv Gandhi,hope education policy,0.5826
Rajiv Gandhi,socialist society society,0.5424
Rajiv Gandhi,slave work critical,0.5357
Rajiv Gandhi,book think ahead,0.5328
Rajiv Gandhi,mankind gap,0.5162
Rajiv Gandhi,yes biggest problem,0.4914
Rajiv Gandhi,housing expensive cost,0.4836
Rajiv Gandhi,best technologists produced,0.4769
Rajiv Gandhi,constructed exactly thirty,0.4624
Rajiv Gandhi,larger size bigger,0.4543
Rajiv Gandhi,natyam closeted away,0.449
Rajiv Gandhi,painting walls,0.4258
Rajiv Gandhi,corner yell population,0.4195
Rajiv Gandhi,dance culture,0.6746
Rajiv Gandhi,highest allocation public,0.5872
Rajiv Gandhi,time industry inefficient,0.5762
Rajiv Gandhi,labour understand going,0.5729
Rajiv Gandhi,natyam closeted,0.5703
Rajiv Gandhi,sector unit,0.552
Rajiv Gandhi,basic fact,0.5346
Rajiv Gandhi,auditorium does serve,0.5295
Rajiv Gandhi,poverty programmes major,0.5213
Rajiv Gandhi,west bengal ways,0.5186
Rajiv Gandhi,strengthened modified slightly,0.4911
Rajiv Gandhi,painting walls colours,0.4908
Rajiv Gandhi,yes ignored,0.4763
Rajiv Gandhi,does aspect come,0.4699
Rajiv Gandhi,small farmer talking,0.4503
Rajiv Gandhi,mobilising resources,0.734
Rajiv Gandhi,gandhiji said swadeshi,0.6779
Rajiv Gandhi,limited items swadeshi,0.6032
Rajiv Gandhi,millions require sacrifices,0.5986
Rajiv Gandhi,agriculture efficiency,0.5749
Rajiv Gandhi,values certain selflessness,0.5524
Rajiv Gandhi,40 ago,0.5512
Rajiv Gandhi,cooperative,0.5435
Rajiv Gandhi,power particular,0.5156
Rajiv Gandhi,changed mind plan,0.5143
Rajiv Gandhi,key word,0.511
Rajiv Gandhi,endeavour just,0.4986
Rajiv Gandhi,746 millions,0.457
Rajiv Gandhi,maximum,0.453
Rajiv Gandhi,ago basic voice,0.4368
Rajiv Gandhi,remind especially punjab,0.6741
Rajiv Gandhi,presidential problems tackled,0.6402
Rajiv Gandhi,progress accord assam,0.6389
Rajiv Gandhi,defection talked long,0.5722
Rajiv Gandhi,settlement chief ministers,0.558
Rajiv Gandhi,time score debating,0.5359
Rajiv Gandhi,boycott rebuffed electorate,0.531
Rajiv Gandhi,numbers confront terrorism,0.512
Rajiv Gandhi,ahead opened major,0.4935
Rajiv Gandhi,water allocation capital,0.4876
Rajiv Gandhi,don happy,0.4509
Rajiv Gandhi,terms,0.8736999999999999
Rajiv Gandhi,came large,0.407
Rajiv Gandhi,syl canal,0.3962
Rajiv Gandhi,bit sorting,0.3815
Rajiv Gandhi,major step taken,0.6681
Rajiv Gandhi,treasurers national parties,0.5931
Rajiv Gandhi,ministries feedback,0.5806
Rajiv Gandhi,reforms sat quiet,0.5715
Rajiv Gandhi,banks specially good,0.5513
Rajiv Gandhi,programme way programme,0.5492
Rajiv Gandhi,deficiencies particular,0.5296
Rajiv Gandhi,example time,0.5138
Rajiv Gandhi,nehru yuvak,1.0944
Rajiv Gandhi,textile policy textile,0.506
